inicio;varinicio;varfim;pt_v;id;vir;inteiro;real;literal;leia;escreva;lit;num;atr;opa;se;ab_p;fc_p;entao;opr;fimse;fim;$
s2;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0
E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;acc
E2;s4;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2
E3;E3;E3;E3;s12;E3;E3;E3;E3;s10;s11;E3;E3;E3;E3;s14;E3;E3;E3;E3;E3;s9;E3
E4;E4;s17;E4;E4;E4;s19;s20;s21;E4;E4;E4;E4;E4;E4;E4;E4;E4;E4;E4;E4;E4;E4
E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;r1
E6;E6;E6;E6;s12;E6;E6;E6;E6;s10;s11;E6;E6;E6;E6;s14;E6;E6;E6;E6;E6;s9;E6
E7;E7;E7;E7;s12;E7;E7;E7;E7;s10;s11;E7;E7;E7;E7;s14;E7;E7;E7;E7;E7;s9;E7
E8;E8;E8;E8;s12;E8;E8;E8;E8;s10;s11;E8;E8;E8;E8;s14;E8;E8;E8;E8;E8;s9;E8
E9;E9;E9;E9;E9;E9;E9;E9;E9;E9;E9;E9;E9;E9;E9;E9;E9;E9;E9;E9;E9;E9;r31
E10;E10;E10;E10;s25;E10;E10;E10;E10;E10;E10;E10;E10;E10;E10;E10;E10;E10;E10;E10;E10;E10;E10
E11;E11;E11;E11;s29;E11;E11;E11;E11;E11;E11;s27;s28;E11;E11;E11;E11;E11;E11;E11;E11;E11;E11
E12;E12;E12;E12;E12;E12;E12;E12;E12;E12;E12;E12;E12;s30;E12;E12;E12;E12;E12;E12;E12;E12;E12
E13;E13;E13;E13;s12;E13;E13;E13;E13;s10;s11;E13;E13;E13;E13;s14;E13;E13;E13;E13;s35;E13;E13
E14;E14;E14;E14;E14;E14;E14;E14;E14;E14;E14;E14;E14;E14;E14;E14;s36;E14;E14;E14;E14;E14;E14
E15;E15;E15;E15;r2;E15;E15;E15;E15;r2;r2;E15;E15;E15;E15;r2;E15;E15;E15;E15;E15;r2;E15
E16;E16;s17;E16;E16;E16;s19;s20;s21;E16;E16;E16;E16;E16;E16;E16;E16;E16;E16;E16;E16;E16;E16
E17;E17;E17;s38;E17;E17;E17;E17;E17;E17;E16;E17;E17;E17;E17;E17;E17;E17;E17;E17;E17;E17;E17
E18;E18;E18;E18;s40;E18;E18;E18;E18;E18;E18;E18;E18;E18;E18;E18;E18;E18;E18;E18;E18;E18;E18
E19;E19;E19;E19;r8;E19;E19;E19;E19;E19;E19;E19;E19;E19;E19;E19;E19;E19;E19;E19;E19;E19;E19
E20;E20;E20;E20;r9;E20;E20;E20;E20;E20;E20;E20;E20;E20;E20;E20;E20;E20;E20;E20;E20;E20;E20
E21;E21;E21;E21;r10;E21;E21;E21;E21;E21;E21;E21;E21;E21;E21;E21;E21;E21;E21;E21;E21;E21;E21
E22;E22;E22;E22;E22;E22;E22;E22;E22;E22;E22;E22;E22;E22;E22;E22;E22;E22;E22;E22;E22;E22;r11
E23;E23;E23;E23;E23;E23;E23;E23;E23;E23;E23;E23;E23;E23;E23;E23;E23;E23;E23;E23;E23;E23;r17
E24;E24;E24;E24;E24;E24;E24;E24;E24;E24;E24;E24;E24;E24;E24;E24;E24;E24;E24;E24;E24;E24;r23
E25;E25;E25;s41;E25;E25;E25;E25;E25;E25;E25;E25;E25;E25;E25;E25;E25;E25;E25;E25;E25;E25;E25
E26;E26;E26;s42;E26;E26;E26;E26;E26;E26;E26;E26;E26;E26;E26;E26;E26;E26;E26;E26;E26;E26;E26
E27;E27;E27;r14;E27;E27;E27;E27;E27;E27;E27;E27;E27;E27;E27;E27;E27;E27;E27;E27;E27;E27;E27
E28;E28;E28;r15;E28;E28;E28;E28;E28;E28;E28;E28;E28;E28;E28;E28;E28;E28;E28;E28;E28;E28;E28
E29;E29;E29;r16;E29;E29;E29;E29;E29;E29;E29;E29;E29;E29;E29;E29;E29;E29;E29;E29;E29;E29;E29
E30;E30;E30;E30;s45;E30;E30;E30;E30;E30;E30;E30;s46;E30;E30;E30;E30;E30;E30;E30;E30;E30;E30
E31;E31;E31;E31;r24;E31;E31;E31;E31;r24;r24;E31;E31;E31;E31;r24;E31;E31;E31;E31;r24;r24;E31
E32;E32;E32;E32;s12;E32;E32;E32;E32;s10;s11;E32;E32;E32;E32;s14;E32;E32;E32;E32;s35;E32;E32
E33;E33;E33;E33;s12;E33;E33;E33;E33;s10;s11;E33;E33;E33;E33;s14;E33;E33;E33;E33;s35;E33;E33
E34;E34;E34;E34;s12;E34;E34;E34;E34;s10;s11;E34;E34;E34;E34;s14;E34;E34;E34;E34;s35;E34;E34
E35;E35;E35;E35;r30;E35;E35;E35;E35;r30;r30;E35;E35;E35;E35;r30;E35;E35;E35;E35;r30;r30;E35
